Reference Type Code,Reference Type Name,Reference Type Description
FF,Freight Forwarder’s Reference,Reference assigned to the shipment by the freight forwarder.
SI,Shipper’s Reference,Reference assigned to the shipment by the shipper.
PO,Purchase Order Reference,The PO reference that the shipper or freight forwarder received from the consignee and then shared with the carrier.
CR,Customer’s Reference,Reference assigned to the shipment by the customer.
AAO,Consignee’s Reference,Reference assigned to the shipment by the consignee.
ECR,Empty container release reference,Unique identifier to enable release of the container from a carrier nominated depot
CSI,Customer shipment ID,Unique Shipment ID for the booking in the Shipper or Forwarder system. Used to identify the booking along with the Booking party.
BPR,Booking party reference number,A unique identifier provided by a booking party in the booking request.
BID,Booking Request ID,The associated booking request ID provided by the shipper.
EQ,Equipment Reference,Reference to the equipment that is associated with document.