Facility Name,UNLOCODE,Facility SMDG Code,Facility BIC Code
ADANI ENNORE CONTAINER TERMINAL,INENR,AECTPL,
NEW MANGALORE PORT,INIXE,NMPT,
CHENNAI CONTAINER TERMINAL (CCTL),INMAA,CCTL,
CHENNAI INTERNATIONAL CONTAINER TERMINAL (CITPL),INMAA,CITPL,
ADANI CMA MUNDRA CONTAINER TERMINAL (ACMTPL),INMUN,ACMTPL,
ADANI INTERNATIONAL CONTAINER TERMINAL (AICTPL),INMUN,AICTPL,
ADANI MUNDRA CONTAINER TERMINAL (AMCT),INMUN,AMCT,
MUNDRA INTERNATIONAL CONTAINER TERMINAL (MICT),INMUN,MICT,
BHARAT MUMBAI CONTAINER TERMINALS,INNSA,BMCT,
GATEWAY TERMINALS INDIA (GTI),INNSA,GTICI,
JAWAHARLAL NEHRU PORT CONTAINER TERMINAL (JNPCT),INNSA,JNPCT,
NHAVA SHEVA (INDIA) GATEWAY TERMINAL (NSIGT),INNSA,NSIGT,
NHAVA SHEVA INTERNATIONAL CONTAINER TERMINAL (NSICT),INNSA,NSICT,
APM TERMINALS PIPAVAV,INPPV,APMT,
DAKSHIN BHARAT GATEWAY TERMINAL,INTUT,DBGT,
PSA SICAL TERMINAL,INTUT,PSASIC,
VISAKHA CONTAINER TERMINAL,INVTZ,VCT,
BASRA GATEWAY TERMINAL EAST,IQUQR,BGTE,
BASRA GATEWAY TERMINAL WEST,IQUQR,BGTW,
BASRA MULTIPURPOSE TERMINAL (BMT),IQUQR,BMT,
IRAQ CONTAINER TERMINAL (ICT),IQUQR,ICT,
KLEPPSBAKKI,ISREY,SUNDA,
ADRIATIC CONTAINER TERMINAL,ITAOI,ACT,
ADRIATIC SERVICES ENTERPRISE ANCONA,ITAOI,ASE,
CICT CAGLIARI INTERNATIONAL CONTAINER TERMINAL,ITCAG,CICT,
GRENDI TERMINAL CAGLIARI,ITCAG,GREN,
EST TERMINAL CATANIA,ITCTA,EST,
CIVITAVECCHIA FRUIT & FOREST TERMINAL,ITCVV,CFFT,
ROMA TERMINAL CONTAINER,ITCVV,RTC,
MCT MEDCENTER CONTAINER TERMINAL,ITGIT,MCT,
GENOA PORT TERMINAL,ITGOA,GPT,
INTERMODAL MARINE TERMINAL,ITGOA,MESSIN,
SECH TERMINAL,ITGOA,SECH,
TERMINAL SAN GIORGIO - PONTE LIBIA,ITGOA,TSG,
VOLTRI TERMINAL EUROPA - PORTO DI PRA,ITGOA,VTE,
TERMINAL ALTO FONDALE,ITLIV,TAFLIV,
TERMINAL DARSENA TOSCANA (TDT),ITLIV,TDT,
TERMINAL DOCK ETRUSCHI,ITLIV,IMP,
TERMINAL LORENZINI,ITLIV,LOREN,
TERMINAL CONATECO,ITNAP,CONA,
TERMINAL FLAVIO GIOIA,ITNAP,TERMIN,
SETRAMAR TERMINAL,ITRAN,SETRA,
TERMINAL CONTAINER RAVENNA,ITRAN,TCR,
SALERNO CONTAINER TERMINAL,ITSAL,SCT,
LA SPEZIA CONTAINER TERMINAL (LSCT),ITSPE,LSCT,
TERMINAL DEL GOLFO (TDG),ITSPE,TDG,
HHLA PLT ITALY,ITTRS,PLT,
TRIESTE MARINE TERMINAL (TMT),ITTRS,TMT,
TERMINAL INTERMODALE VENEZIA,ITVCE,TIV,
VECON - CONTAINER TERMINAL,ITVCE,VECON,
VADO GATEWAY TERMINAL,ITVDL,VGT,
VADO REEFER TERMINAL,ITVDL,REEF,
KINGSTON CONTAINER TERMINAL,JMKIN,KCT,
KINGSTON WHARVES,JMKIN,KWL,
AQABA CONTAINER TERMINAL,JOAQJ,ACT,
NICHINAN EAST PUBLIC WHARF NO. 9,JPABU,EPW9,
GAIKO -13M NO. 1 BERTH,JPAXT,CG20C,
OHAMA -10M,JPAXT,CO10M,
CHIBA CHUOFUTO NO. G BERTH,JPCHB,CHUGC,
FUKUYAMA PORT INTERNATIONAL CONTAINER TERMINAL,JPFKY,FICT,
"HATTARO WHARF NO. 2, BERTH J",JPHHE,HT01C,
"HITACHINAKA MINATO, KITAFUTOU B BERTH",JPHIC,HN02C,
HIROSHIMA PORT INTERNATIONAL CONTAINER TERMINAL,JPHIJ,HICT,
KAITA CONTAINER TERMINAL,JPHIJ,KAIC,
HAKOZAKI WHARF NO. 5 BERTH,JPHKT,KB05C,
ISLAND CITY CONTAINER TERMINAL,JPHKT,HIC,
KASHII PARK CONTAINER TERMINAL,JPHKT,KSI,
FUKUIFUTO NO. 3-4 WHARF,JPHMD,HAFKF,
SHIRAHAMA INTERNATIONAL CONTAINER TERMINAL,JPHSM,SICT,
"HITACHI MINATO, NO. 4 WHARF, C/D BERTH",JPHTC,HTDAI,
TOMITA NO. 1/2 BERTH,JPIMB,TOM,
NANATSUJIMA KITA NO. 1 BERTH,JPIMI,NS05C,
BANNAGURO INTERNATIONAL CONTAINER TRANSPORT BASE,JPISI,BNG,
SHINMINATO SOUTH BERTH (-10M),JPIWK,SI10C,
MISATO NO. 7-1 WHARF,JPKCZ,MG01C,
MISATO NO. 7-2 WHARF,JPKCZ,MG02C,
NIIGATA WORLD TRADE TERMINAL (N-WTT),JPKIJ,EWC,
KAMAISHI PUBLIC WHARF,JPKIS,KPW,
KUMAMOTO CONTAINER TERMINAL,JPKMJ,KCT,
GOKUDEN WHARF,JPKNZ,GG01C,
TOMIZU WHARF,JPKNZ,TG01C,
KOMATSUSHIMA CONTAINER TERMINAL,JPKOM,KMCT,
KASHIMA NORTH PUBLIC WHARF,JPKSM,NPW,
KASHIMA SOUTH PUBLIC WHARF (MINAMIKOUKYOU) BERTH H,JPKSM,MK08C,
KAWASAKI CONTAINER TERMINAL NO. 1 WHARF,JPKWS,KHC1C,
"MAIZURU NO. 2 WHARF, NO. 2 BERTH",JPMAI,KB09C,
MIZUSHIMA PORT INTERNATIONAL CONTAINER TERMINAL,JPMIZ,MICT,
TAMASHIMA FOREIGN TRADE WHARF NO. 1 BERTH,JPMIZ,TE01C,
TAMASHIMA HARBOR ISLAND NO. 4 BERTH,JPMIZ,TH04C,
KAMINO PIER NO. 7 WHARF,JPMKW,TJ07C,
KANEKO INTERNATIONAL CONTAINER TERMINAL,JPMKX,KNCT,
MURAMATSU BERTH NO. 8,JPMKX,MM8,
HIBIKI CONTAINER TERMINAL,JPMOJ,HBK,
KOKURA RORO TERMINAL,JPMOJ,KHC,
TACHINOURA CONTAINER TERMINAL NO. 1,JPMOJ,TAC1,
TACHINOURA CONTAINER TERMINAL NO. 2,JPMOJ,TAC2,
TANOURA RORO TERMINAL,JPMOJ,TNC,
SAKIMORI NO. 1-7 BERTHS,JPMUR,SAC,
MATSUYAMA PORT CONTAINER TERMINAL,JPMYJ,MPCT,
SHINKOH PIER,JPNAH,SFC,
NAKANOSEKI WHARF,JPNAN,NKS,
EAST PIER NO. 4 BERTH,JPNAO,EP04C,
KINJO PIER (RORO),JPNGO,KJC,
"NABETA PIER CONTAINER TERMINAL, T1/2/3",JPNGO,NCT,
"NCB CONTAINER TERMINAL, R1/2/3",JPNGO,NCB,
"TOBISHIMA PIER NORTH CONTAINER TERMINAL, W90/91/92",JPNGO,TNT,
"TOBISHIMA PIER SOUTH CONTAINER TERMINAL, W93/94",JPNGO,TST,
"TOBISHIMA PIER SOUTH SIDE CONTAINER TERMINAL, TS1/2",JPNGO,TCB,
"KOGAKURA PIER, YANAGI NISHI BERTH (-12M)",JPNGS,KY14C,
OZAI CONTAINER TERMINAL,JPOIT,OCT,
OMAEZAKI INTERNATIONAL CONTAINER TERMINAL,JPOMZ,OZCT,
OTSURUGI WHARF NO. 4 BERTH,JPONA,OU04C,
SAKISHIMA CONTAINER TERMINAL C-1,JPOSA,OC1,
SAKISHIMA CONTAINER TERMINAL C-2,JPOSA,OC2,
SAKISHIMA CONTAINER TERMINAL C-3/4,JPOSA,OC34,
SAKISHIMA CONTAINER TERMINAL C-6,JPOSA,OC6,
SAKISHIMA CONTAINER TERMINAL C-7,JPOSA,OC7,
SAKISHIMA CONTAINER TERMINAL C-8,JPOSA,OC8,
SAKISHIMA CONTAINER TERMINAL C-9,JPOSA,OC9,
YUMESHIMA CONTAINER TERMINAL C-10,JPOSA,OC10,
YUMESHIMA CONTAINER TERMINAL C-11,JPOSA,OC11,
YUMESHIMA CONTAINER TERMINAL C-12,JPOSA,OC12,
OTAKE HIGASHISAKAE WHARF,JPOTK,OHW,
SUKEMATSU WHARF NO. 8 PIER,JPSBK,SKM,
GAIKOCHIKU D GANPEKI,JPSBS,GG06C,
SHINWAKAHAMA INTERNATIONAL CONTAINER TERMINAL,JPSBS,SWCT,
TAKASAGO PIER NO. 1 BERTH,JPSGM,SC01C,
TAKASAGO NO. 2 QUAY,JPSKT,TS02C,
SHOWA SOUTH NO. 2 BERTH,JPSMN,GS02C,
SHOWA SOUTH NO. 3 BERTH,JPSMN,GS03C,
NISHIHAMA NO. 5 BERTH,JPSMT,WM32C,
SHIN-OKITSU CONTAINER TERMINAL,JPSMZ,OKT,
SODESHI CONTAINER TERMINAL,JPSMZ,SDE,
JINNO WHARF NO. 8,JPTHS,TJ8C,
HARUMI WHARF,JPTKY,HAR,
TOMAKOMAI INTERNATIONAL CONTAINER TERMINAL,JPTMK,TICT,
KAWASAKI MATSUEI B BERTH,JPTRG,TK02C,
KAWASAKI MATSUEI C BERTH,JPTRG,TK22C,
TSURUGA MULTIPURPOSE INTERNATIONAL TERMINAL,JPTRG,TMIT,
SENDAI WHARF NO. 1,JPTTJ,SG21C,
SENDAI WHARF NO. 3,JPTTJ,SG17C,
AOMI CONTAINER TERMINAL BERTH NO. 0/1/2,JPTYO,AOO,
AOMI CONTAINER TERMINAL BERTH NO. 3,JPTYO,AOH,
AOMI CONTAINER TERMINAL BERTH NO. 4,JPTYO,AOE,
CHUO BOUHATEI Y1 CONTAINER TERMINAL,JPTYO,CBY1,
CHUO BOUHATEI Y2 CONTAINER TERMINAL,JPTYO,CBY2,
OHI CONTAINER TERMINAL BERTH NO. 1/2,JPTYO,OHK,
OHI CONTAINER TERMINAL BERTH NO. 3/4,JPTYO,OHM,
OHI CONTAINER TERMINAL BERTH NO. 5,JPTYO,OHA,
OHI CONTAINER TERMINAL BERTH NO. 6/7,JPTYO,OHN,
SHINAGAWA CONTAINER TERMINAL,JPTYO,SHG,
SHIBANAKA BERTH NO. 1,JPUBJ,SF01C,
SHIBANAKA WEST WHARF (SHIBANAKANISI),JPUBJ,SWW,
"KAMIGUMI KOBE CONTAINER TERMINAL (KGCT), PC-18",JPUKB,KCT,
PORT ISLAND M BERTH,JPUKB,PIM,
PORT ISLAND PC-13,JPUKB,PC13,
PORT ISLAND PC-14,JPUKB,PC14,
PORT ISLAND PC-15,JPUKB,PC15,
PORT ISLAND PC-16/17,JPUKB,PC16,
ROKKO ISLAND RC-2,JPUKB,RC2,
ROKKO ISLAND RC-4,JPUKB,RC4,
ROKKO ISLAND RC-5,JPUKB,RC5,
ROKKO ISLAND RC-6/7,JPUKB,RC6,
ROKKO ISLAND RWX,JPUKB,RWX,
ROKKO ISLAND SOUTH B/C BERTH,JPUKB,RSBC,
SUEHIRO PIER EAST,JPWKJ,SE01C,
"KASUMIGAURA NORTH PIER, W80",JPYKK,KSN,
"KASUMIGAURA SOUTH PIER, W26/W27",JPYKK,KSS,
APM TERMINALS YOKOHAMA (MC1-MC4),JPYOK,APMYOK,
DAIKOKU CONTAINER TERMINAL C-3,JPYOK,DC3,
DAIKOKU CONTAINER TERMINAL C-4,JPYOK,DC4,
DAIKOKU CONTAINER TERMINAL T-9,JPYOK,DT9,
HONMOKU CONTAINER TERMINAL A-5.6,JPYOK,HA5,
HONMOKU CONTAINER TERMINAL A-6.7,JPYOK,HA6,
HONMOKU CONTAINER TERMINAL BC,JPYOK,HBC,
HONMOKU CONTAINER TERMINAL D-1,JPYOK,HD1,
HONMOKU CONTAINER TERMINAL D-4,JPYOK,HD4,
HONMOKU CONTAINER TERMINAL D-5,JPYOK,HD5,
MINAMI-HONMOKU CONTAINER TERMINAL MC-3,JPYOK,MHM,
MOMBASA CONTAINER TERMINAL,KEMBA,MCT,
SIHANOUKVILLE PORT,KHKOS,SPA,
E1 CONTAINER TERMINAL,KRINC,E1CTC,
HANJIN INCHEON CONTAINER TERMINAL (HJIT),KRINC,HJITC,
INCHEON CONTAINER TERMINAL (ICT),KRINC,ICTPC,
SUNKWANG NEWPORT CONTAINER TERMINAL (SNCT),KRINC,SNCTC,
GWANGYANG WEST CONTAINER TERMINAL,KRKAN,GWCT,
KOREA INTERNATIONAL CONTAINER TERMINAL,KRKAN,KIT,
SM GWANGYANG TERMINAL,KRKAN,GIGCT,
POHANG INTERNATIONAL CONTAINER TERMINAL (PICT),KRKPO,PICTC,
PYEONGTAEK CONTAINER TERMINAL,KRPTK,PCTCC,
PYEONGTAEK DONGBANG I-PORT,KRPTK,PNCTC,
BUSAN NEW CONTAINER TERMINAL (BNCT),KRPUS,BNCT,
BUSAN PORT TERMINAL (BPT),KRPUS,KBCT,
DONGBU PUSAN CONTAINER TERMINAL (DPCT),KRPUS,DPCT,
HANJIN BUSAN NEW PORT CO. (HJNC),KRPUS,HJNC,
HANJIN BUSAN NEW PORT CO. (HJNC),KRBNP,HJNC,
HUTCHISON BUSAN CONTAINER TERMINAL (HBCT),KRPUS,HBCT,
PSA HYUNDAI PUSAN NEW-PORT TERMINAL (HPNT),KRPUS,HPNT,
PUSAN NEW PORT CO. (PNC),KRPUS,PNC,
PUSAN NEW PORT INTERNATIONAL TERMINAL (PNIT),KRPUS,PNP,
JEONG IL ULSAN CONTAINER TERMINAL,KRUSN,JUCTC,
ULSAN NEWPORT CONTAINER TERMINAL (UNCT),KRUSN,UDITC,
SHUAIBA CONTAINER TERMINAL,KWSAA,SAACT,
SHUWAIKH CONTAINER TERMINAL,KWSWK,SWKCT,
BEIRUT CONTAINER TERMINAL CONSORTIUM (BCTC),LBBEY,BCTC,
COLOMBO INTERNATIONAL CONTAINER TERMINAL,LKCMB,CICT,
JAYA CONTAINER TERMINAL,LKCMB,LKJCT,
SOUTH ASIA GATEWAY TERMINALS (SAGT),LKCMB,SAGT,
UNITY CONTAINER TERMINAL,LKCMB,LKUCT,
KLAIPEDA CONTAINER TERMINAL,LTKLJ,KKT,
KLAIPEDA SMELTE CONTAINER TERMINAL (KSCT),LTKLJ,KAS,
BALTIC CONTAINER TERMINAL RIGA,LVRIX,BCT,
RIGA CONTAINER TERMINAL (RIGACT),LVRIX,RCT,
RIGA UNIVERSAL TERMINAL,LVRIX,RUT,
CONTAINER TERMINAL EST,MACAS,EST,
SOMAPORT,MACAS,SOMAP,
APM TERMINALS TANGIER,MAPTM,APMT,
APM TERMINALS TANGIER MEDPORT 2,MAPTM,APM2,
EUROGATE TANGIER,MAPTM,EURTN,
TANGER ALLIANCE TERMINAL,MAPTM,TAT,
AHLONE INTERNATIONAL PORT TERMINAL 1,MMRGN,AIPT1,
ASIA WORLD PORT TERMINAL,MMRGN,AWPT,
BO AUNG KYAW TERMINAL,MMRGN,BAKT,
MYANMAR INDUSTRIAL PORT (MIP),MMRGN,MIP,
MYANMAR INTERNATIONAL TERMINALS THILAWA (HUTCHISON MITT),MMRGN,MITT,
FRIENDSHIP PORT OF NOUAKCHOTT,MRNKC,PANPA,
MALTA FREEPORT TERMINALS LTD,MTMAR,FREE,
ALTAMIRA TERMINAL PORTUARIA,MXATM,ATP,
INFRAESTRUCTURA PORTUARIA MEXICANA S.A. DE C.V.,MXATM,IPM,
ENSENADA INTL TERMINAL SA DE CV,MXESE,EIT,
APM TERMINALS LAZARO CARDENAS TERMINAL DE CONTENEDORES II,MXLZC,APMT,
LAZARO CARDENAS TERMINAL PORTUARIA I,MXLZC,LCT,
TERMINAL MARITIMA DE MAZATLAN,MXMZT,TMAZ,
ADMINISTR. PORTUARIA INTEGRAL DE PROGRESO,MXPGO,TCY,
PUERTO CHIAPAS,MXTAP,PMD,
TUXPAN PORT TERMINAL,MXTUX,TPT,
INTERNACIONAL DE CONTENEDORES ASOCIADOS DE VERACRUZ (ICAVE) TEC II,MXVER,ICAVE,
CONTECON MANZANILLO,MXZLO,CMSA,
SSA MEXICO HOLDINGS,MXZLO,SSAMX,
TERMINAL INTL DE MANZANILLO (TIMSA),MXZLO,TIMSA,
PENANG PORT,MYPEN,PENP,
JOHOR PORT,MYPGU,JPB,
NORTHPORT MALAYSIA,MYPKG,NPM,
WESTPORT KELANG MULTI TERMINAL (KMT),MYPKG,KMT,
PORT OF TANJUNG PELEPAS (PTP),MYTPP,PTP,
DP WORLD MAPUTO,MZMPM,MIPS,
WALVIS BAY OCEAN TERMINAL,NAWVB,WVB,
APM TERMINALS APAPA,NGAPP,APMTER,
PORTS AND TERMINAL OPERATORS (PTOL),NGPHC,PTOL,
FIVE STAR TERMINAL TIN CAN ISLAND (TERMINAL D),NGTIN,FIVEST,
TIN CAN ISLAND CONTAINER TERMINAL TICT (TERMINAL B),NGTIN,TICT,
TIN CAN ISLAND PORT (TERMINAL C),NGTIN,TCIPC,
TIN CAN ISLAND PTML TERMINAL,NGTIN,PTML,
PORT OF CORINTO,NICIO,EPN,
AMSTERDAM CONTAINER TERMINAL (ACT),NLAMS,ACT,
APM TERMINALS ROTTERDAM MAASVLAKTE 2,NLRTM,NLMVII,
BARGE CENTER WAALHAVEN (BCW),NLRTM,RTMB,
ECT DELTA BARGE FEEDER TERMINAL (DBF),NLRTM,DBF,
ECT DELTA DEDICATED EAST (DDE),NLRTM,DDE,
ECT DELTA DEDICATED NORTH (DDN),NLRTM,DDN,
ECT DELTA TERMINAL GATE,NLRTM,DCD,
ECT EUROMAX TERMINAL (EMX),NLRTM,EMX,
HUTCHISON PORTS DELTA II,NLRTM,HPD2,
MATRANS ROTTERDAM TERMINAL,NLRTM,MATR,
RAIL SERVICE CENTER ROTTERDAM,NLRTM,RSC,
RBC TERMINAL ROTTERDAM,NLRTM,RBC,
ROTTERDAM CONTAINER TERMINAL (RCT) MAASVLAKTE,NLRTM,KRM,
ROTTERDAM SHORT SEA TERMINAL (RST) NORTH SIDE,NLRTM,RSN,
ROTTERDAM SHORT SEA TERMINAL (RST) SOUTH SIDE,NLRTM,RSZ,
ROTTERDAM STEINWEG BEATRIXHAVEN,NLRTM,NLSBH,
ROTTERDAM WORLD GATEWAY,NLRTM,RWG,
UNIPORT WAALHAVEN TERMINAL,NLRTM,UMTR,
WAALHAVEN BOTLEK TERMINAL (WBT),NLRTM,5049,
KLOOSTERBOER VLISSINGEN B.V.,NLVLI,KBV,
VERBRUGGE ZEELAND TERMINALS BV,NLVLI,VZT,
FLATHOLMEN CONTAINER TERMINAL,NOAES,FLAT,
FRIGOCARE TERMINAL,NOAES,FRI,
SKUTVIKA TERMINAL,NOAES,SKUTVI,
BERGEN DOKKEN VEST,NOBGO,BDV,
BORG HAVN FREDRIKSTAD-OERA,NOFRK,OERK,
LARVIK CONTAINER TERMINAL,NOLAR,NOLCT,
MOSS CONTAINER TERMINAL,NOMSS,MCT,
FILIPSTAD QUAY,NOOSL,NSF,
SJURSOYA SOUTH QUAY,NOOSL,SCT,
WESTPORT TERMINAL RISAVIKA,NOTAE,RIS,
PORTS OF AUCKLAND BLEDISLOE WHARF,NZAKL,PABW,
PORTS OF AUCKLAND FERGUSSON WHARF,NZAKL,PAFW,
PORTS OF AUCKLAND GENERAL WHARF,NZAKL,PAGW,
LYTTELTON PORT COMPANY,NZLYT,LPC,
NAPIER PORT,NZNPE,NPENZ,
PORT TARANAKI,NZNPL,PTAR,
PORT NELSON,NZNSN,PNEL,
PORT CHALMERS,NZPOE,POOT,
PRIMEPORT TIMARU,NZTIU,PTIM,
TIMARU CONTAINER TERMINAL,NZTIU,TCTL,
MOUNT MAUNGANUI PORT,NZTRG,MMP,
TAURANGA CONTAINER TERMINAL (SULPHUR POINT),NZTRG,TRGCT,
CENTREPORT WELLINGTON,NZWLG,CPW,
APM TERMINALS SALALAH,OMSLL,APMT,
OMAN INTERNATIONAL CONTAINER TERMINAL,OMSOH,OICT,
PPC CONTAINER TERMINAL BALBOA,PABLB,PPCBL,
PPC CONTAINER TERMINAL CRISTOBAL,PACTB,PCPPC,
MANZANILLO INTERNATIONAL TERMINAL (MIT),PAMIT,MIT,
COLON CONTAINER TERMINAL (CCT),PAONX,CCT,
PSA PANAMA INTERNATIONAL TERMINAL (PPIT),PAROD,PPIT,
APM TERMINALS CALLAO,PECLL,APMCLL,
DP WORLD CALLAO,PECLL,DPCLL,
TERMINALES PORTUARIOS EUROANDINOS (TPE),PEPAI,TPE,
PORT OF PAPEETE,PFPPT,POPA,
CEBU INTERNATIONAL PORT,PHCEB,CIP,
MANILA INTERNATIONAL CONTAINER TERMINAL (MICT),PHMNL,MIC,
NORTH HARBOR DOMESTIC PORT,PHMNL,NHDP,
SOUTH HARBOR CONTAINER TERMINAL,PHMNL,ATI,
QASIM INTERNATIONAL CONTAINER TERMINAL (QICT),PKBQM,QICT,
KARACHI INTERNATIONAL CONTAINER TERMINAL (KICT),PKKHI,KICT,
PAKISTAN INTERNATIONAL CONTAINER TERMINAL (PICT),PKKHI,PICT,
SOUTH ASIA PAKISTAN TERMINAL (SAPT),PKKHI,SAPT,
DEEPWATER CONTAINER TERMINAL,PLGDN,DCT,
GDANSKI TERMINAL KONTENEROWY (GTK),PLGDN,PLGDA,
BALTIC CONTAINER TERMINAL GDYNIA (BCT),PLGDY,PLBCT,
GDYNIA CONTAINER TERMINAL (GCT),PLGDY,PLGCT,
SZCZECIN CONTAINER TERMINAL,PLSZZ,DPSZ,
LUIS AYALA COLON,PRSJU,LACS,
"CANICAL PORT, MADEIRA",PTCNL,CSP,
FIGUEIRA DA FOZ TERMINAL,PTFDF,LISC,
"FUNCHAL PORT, MADEIRA",PTFNC,APRAM,
LEIXOES CONTAINER TERMINAL,PTLEI,TCLA,
BEATO MULTIPURPOSE TERMINAL (TMB),PTLIS,TMB,
LISBON MULTIPURPOSE TERMINAL (TML),PTLIS,OLIS,
LISCONT CONTAINER TERMINAL,PTLIS,LISC,
SANTA APOLONIA CONTAINER TERMINAL (TCSA),PTLIS,SOTA,
PORTO SANTO PORT,PTPXO,APRAM,
MULTI PURPOSE TERMINAL 1 - TERSADO,PTSET,APSS,
MULTI PURPOSE TERMINAL 2 - SADOPORT,PTSET,SADOP,
SINES CONTAINER TERMINAL,PTSIE,SCT,
PUERTO CAACUPE-MI ASUNCION,PYASU,CCPMI,
PUERTO FENIX,PYASU,PFNX,
PUERTO SAN JOSE (EMPEDRIL S.A.),PYASU,PSJ,
PUERTO CAACUPE-MI PILAR,PYPIL,CAP,
TERPORT SAN ANTONIO,PYSAN,TERSAN,
ANNP TERMINAL PORTUARIA VILLETA,PYVLL,ANNP,
PUERTO SEGURO FLUVIAL,PYVLL,PSF,
TERPORT VILLETA,PYVLL,TERVIL,
HAMAD CONTAINER TERMINAL (HCT),QAHMD,HCT,
S.A.M.R. (SOCIETE D'ACCONAGE ET DE MANUTENTION DE LA REUNION),RELPT,SAMR2,
